system:index,bedrock,clay,dem,erosion,hand,latitude,longitude,precip,sand,slope,soc,spatial_fold,suit_score,twi,typhoon,.geo
25,0.0,28.0,133.0,25.399782180786133,118.0,19.061665603352004,110.22531731623576,2676.398193359375,42.0,1.4592705965042114,4.0,2.0,0.6551351829111928,13.362222671508789,44.0,"{""type"":""Point"",""coordinates"":[110.22559528208687,19.063524289382556]}"
26,0.0,26.0,307.0,26.471040725708008,122.0,19.084123485454995,109.69531129860525,2321.585693359375,49.0,2.6198055744171143,4.0,2.0,0.6418825702829207,12.66287899017334,40.0,"{""type"":""Point"",""coordinates"":[109.69328418781393,19.084731208754928]}"
27,0.0,26.0,1002.0,26.029327392578125,969.0,18.71581421896599,108.90479384858008,1526.61865234375,49.0,17.394710540771484,7.0,1.0,0.4890817693841648,10.083317756652832,46.0,"{""type"":""Point"",""coordinates"":[108.9050679736142,18.715198345872146]}"
28,0.0,28.0,149.0,29.654924392700195,75.0,19.344634917849653,109.87048277900857,2585.94189453125,43.0,2.1267435550689697,4.0,3.0,0.6962416387867391,12.975393295288086,40.0,"{""type"":""Point"",""coordinates"":[109.87173798477205,19.34560968613405]}"
29,0.0,28.0,24.0,14.9845552444458,24.0,19.313193882905473,110.50828663073344,2694.675048828125,42.0,0.44064852595329285,4.0,3.0,0.7689154111508816,14.587279319763184,40.0,"{""type"":""Point"",""coordinates"":[110.50947194196321,19.311627540285233]}"
30,0.0,27.0,641.0,49.343666076660156,587.0,19.030224568407817,109.10691478750698,1971.871337890625,50.0,15.853909492492676,7.0,2.0,0.5641405988945755,10.574423789978027,40.0,"{""type"":""Point"",""coordinates"":[109.10613890467926,19.030509019017565]}"
31,0.0,25.0,201.0,37.280399322509766,163.0,19.052682450510808,110.08158687077662,2653.810302734375,47.0,2.861685037612915,5.0,2.0,0.6366866147011124,12.645224571228027,46.0,"{""type"":""Point"",""coordinates"":[110.0808507779755,19.052105015404425]}"
32,0.0,21.0,42.0,12.030233383178711,41.0,19.847691476956584,109.66836184008167,1871.874267578125,50.0,1.0882264375686646,2.0,4.0,0.7237676736279264,13.7103910446167,35.0,"{""type"":""Point"",""coordinates"":[109.66974063147195,19.849679701339134]}"
33,0.0,26.0,41.0,20.810945510864258,38.0,19.29522757722308,110.37803091453611,2818.90087890625,50.0,0.8584315776824951,5.0,3.0,0.7596137858997137,13.94821834564209,38.0,"{""type"":""Point"",""coordinates"":[110.37969496395763,19.294064563214746]}"
34,0.0,30.0,201.0,32.92734909057617,69.0,19.205396048811124,109.8031091326996,2499.17626953125,42.0,2.899803400039673,6.0,2.0,0.702076893188855,12.631969451904297,38.0,"{""type"":""Point"",""coordinates"":[109.80248567244,19.207136252549915]}"
